Order ID,Order Date,Customer ID,Product ID,Units Sold,Total Sales
15352,3-16-2018,E1083,30,5,?48.25
8156,4-11-2018,E1086,63,10,?100.00
48406,6-26-2016,E1008,21,12,?312.00
70967,11-24-2017,E1076,40,40,"?3,880.00"
70148,8-12-2016,E1047,72,9,?81.00
55712,10-21-2017,E1043,54,35,?271.25
29515,6-6-2016,E1025,75,10,?439.00
10798,6-15-2015,E1089,73,15,?450.00
66624,2-9-2017,E1015,13,6,?79.50
52344,4-9-2015,E1071,72,20,?180.00
44789,8-2-2016,E1034,19,15,?187.50
66297,7-10-2016,E1032,75,25,"?1,097.50"
22902,5-17-2018,E1061,74,40,?650.00
31398,4-22-2018,E1062,70,40,?930.00
81231,5-12-2017,E1048,65,42,?504.00
25714,4-13-2018,E1009,21,20,?520.00
35439,7-20-2017,E1060,52,40,"?2,200.00"
38971,2-21-2017,E1046,15,21,?451.50
16828,8-9-2015,E1004,29,21,?966.00
23000,10-7-2018,E1002,18,15,?570.00
49143,4-4-2016,E1041,20,20,?500.00
39129,9-11-2017,E1086,40,30,"?2,910.00"
42764,1-1-2017,E1087,77,35,?332.50
64018,10-12-2018,E1073,23,25,?900.00
61474,4-16-2016,E1055,44,15,?210.00
8843,10-1-2018,E1022,68,12,?110.40
59642,2-25-2015,E1049,28,25,?475.00
5594,4-18-2016,E1043,13,6,?79.50
71555,12-2-2018,E1075,50,15,?315.00
88298,3-24-2015,E1025,69,65,"?8,046.35"
23761,1-5-2016,E1054,56,50,?475.00
59361,1-4-2015,E1052,57,6,?273.60
30795,1-15-2015,E1013,42,10,?258.90
75618,1-12-2017,E1051,61,1,?14.00
88982,3-27-2017,E1028,42,21,?543.69
86490,2-8-2018,E1021,53,50,?975.00
31357,8-28-2017,E1002,9,15,?330.00
88666,7-22-2018,E1027,75,16,?702.40
73915,3-14-2016,E1031,62,20,"?1,620.00"
89734,9-5-2017,E1018,4,20,?680.00
65514,12-4-2017,E1024,5,12,?750.00
